Method,Intensity_Score,Peak_Stress_raw,Max_Gradient_raw,Max_Jerk_raw,FFI_raw,DWCI_raw,Peak_Stress,Max_Gradient,Max_Jerk,FFI,DWCI
ULM_L,0.7430372766750638,15322.8662109375,4181870.5,1063608.75,0.7947167666808372,0.23099424174734864,15322.8662109375,4181870.5,1063608.75,0.7947167666808372,0.23099424174734864
DLM_2,0.33494836847413934,20439.685546875,4929746.0,1421752.875,0.7496313954443654,0.18771481291852507,20439.685546875,4929746.0,1421752.875,0.7496313954443654,0.18771481291852507
DLM_3,-0.03689900130074608,21672.19921875,4271773.0,1363769.5,0.7222681129463251,0.21891515850739227,21672.19921875,4271773.0,1363769.5,0.7222681129463251,0.21891515850739227
LM_C,-0.179525997266907,21409.58203125,4158929.0,1064671.875,0.7409094253811921,0.18823953388528925,21409.58203125,4158929.0,1064671.875,0.7409094253811921,0.18823953388528925
LM_L,-0.8615606465815501,25766.947265625,6855808.5,1063985.25,0.685864010913811,0.1190754395541609,25766.947265625,6855808.5,1063985.25,0.685864010913811,0.1190754395541609
