ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
WYY2,2026-03-12T16:27:40.154546,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.5240139961242676
WYY2,2026-03-12T16:27:45.587863,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.5693526268005371
WYY2,2026-03-12T16:27:51.250561,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.34386610984802246
WYY2,2026-03-12T16:27:56.787025,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.5303499698638916
WYY2,2026-03-12T16:28:02.266464,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.4592244625091553
WYY2,2026-03-12T16:28:08.602266,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,1.3302640914916992
WYY2,2026-03-12T16:28:14.274798,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.4931948184967041
WYY2,2026-03-12T16:28:20.594288,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,1.2804839611053467
WYY2,2026-03-12T16:28:27.963134,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.105757474899292
WYY2,2026-03-12T16:28:34.514167,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.27217626571655273
WYY2,2026-03-12T16:28:39.658861,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.31621241569519043
WYY2,2026-03-12T16:28:44.906764,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.31018829345703125
WYY2,2026-03-12T16:28:50.418558,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.6468846797943115
WYY2,2026-03-12T16:28:55.523333,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.24567413330078125
WYY2,2026-03-12T16:29:00.794403,Supplementary Experiment 1,pairwise,2,Intensity,6,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.39104270935058594
WYY2,2026-03-12T16:29:06.602096,Supplementary Experiment 1,pairwise,2,Intensity,7,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,0.7944109439849854
WYY2,2026-03-12T16:29:12.474787,Supplementary Experiment 1,pairwise,2,Intensity,8,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.9088733196258545
WYY2,2026-03-12T16:29:18.282778,Supplementary Experiment 1,pairwise,2,Intensity,9,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.33040714263916016
WYY2,2026-03-12T16:29:23.810800,Supplementary Experiment 1,pairwise,2,Intensity,10,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.30422306060791016
WYY2,2026-03-12T16:29:29.297757,Supplementary Experiment 1,pairwise,2,Intensity,11,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,0.6341462135314941
WYY2,2026-03-12T16:29:34.619357,Supplementary Experiment 1,pairwise,2,Intensity,12,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.3072507381439209
WYY2,2026-03-12T16:29:41.315110,Supplementary Experiment 1,pairwise,2,Intensity,13,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.6913695335388184
WYY2,2026-03-12T16:29:46.658791,Supplementary Experiment 1,pairwise,2,Intensity,14,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.40974926948547363
WYY2,2026-03-12T16:29:52.058531,Supplementary Experiment 1,pairwise,2,Intensity,15,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,0.3802452087402344
WYY2,2026-03-12T16:29:58.362905,Supplementary Experiment 1,pairwise,2,Intensity,16,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.4260411262512207
WYY2,2026-03-12T16:30:03.578998,Supplementary Experiment 1,pairwise,2,Intensity,17,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.2261662483215332
WYY2,2026-03-12T16:30:08.762120,Supplementary Experiment 1,pairwise,2,Intensity,18,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.30353498458862305
WYY2,2026-03-12T16:30:14.882400,Supplementary Experiment 1,pairwise,2,Intensity,19,ULM_M0p2,ULM_M0p5,A,ULM_M0p2,1.0672674179077148
WYY2,2026-03-12T16:30:20.874026,Supplementary Experiment 1,pairwise,2,Intensity,20,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.48834896087646484
