ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
WYY2,2026-03-12T16:26:27.665990,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,2.6887848377227783
WYY2,2026-03-12T16:26:34.787134,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M0p2,ULM_M0p5,A,ULM_M0p2,1.5364480018615723
WYY2,2026-03-12T16:26:43.386520,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,2.10371470451355
WYY2,2026-03-12T16:26:50.121969,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.43280744552612305
WYY2,2026-03-12T16:26:55.787182,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.6117956638336182
WYY2,2026-03-12T16:27:03.211445,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,1.6576223373413086
WYY2,2026-03-12T16:27:09.667038,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.500847339630127
WYY2,2026-03-12T16:27:18.490760,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,1.4395740032196045
WYY2,2026-03-12T16:27:23.658696,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.22823548316955566
WYY2,2026-03-12T16:27:29.059182,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.4498016834259033
WYY2,2026-03-12T16:27:34.363922,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.3586409091949463
